iter	Passed	Remaining
213	893	3282
214	895	3268
215	916	3325
216	917	3311
217	919	3299
218	921	3285
219	924	3278
220	926	3264
221	929	3258
222	931	3245
223	932	3232
224	963	3319
225	965	3306
226	966	3292
227	969	3282
228	970	3269
229	972	3255
230	974	3242
231	975	3230
232	978	3221
233	979	3207
234	981	3194
235	982	3180
236	983	3166
237	985	3154
238	986	3142
239	990	3137
240	992	3125
241	993	3113
242	995	3101
243	997	3089
244	998	3076
245	999	3064
246	1001	3052
247	1002	3040
248	1009	3043
249	1010	3032
250	1012	3020
251	1014	3010
252	1020	3014
253	1022	3003
254	1034	3022
255	1039	3022
256	1044	3018
257	1046	3009
258	1051	3007
259	1052	2995
260	1053	2984
261	1055	2972
262	1056	2961
263	1058	2949
264	1060	2941
265	1062	2932
266	1064	2921
267	1077	2942
268	1079	2933
269	1080	2922
270	1082	2910
271	1083	2900
272	1088	2898
273	1090	2888
274	1091	2877
275	1093	2867
276	1094	2857
277	1095	2846
278	1097	2835
279	1098	2824
280	1099	2814
281	1101	2803
282	1103	2794
283	1117	2817
284	1139	2859
285	1141	2850
286	1143	2839
287	1144	2829
288	1145	2818
289	1147	2808
290	1148	2798
291	1149	2787
292	1154	2785
293	1156	2776
294	1157	2766
295	1159	2756
296	1164	2755
297	1165	2745
298	1166	2735
299	1168	2725
300	1169	2716
301	1171	2706
302	1192	2742
303	1201	2751
304	1208	2754
305	1210	2744
306	1211	2734
307	1220	2742
308	1222	2733
309	1223	2723
310	1225	2714
311	1226	2705
312	1232	2705
313	1234	2696
314	1243	2704
315	1246	2698
316	1248	2689
317	1249	2680
318	1252	2672
319	1253	2664
320	1255	2655
321	1256	2646
322	1258	2637
323	1262	2634
324	1263	2624
325	1296	2680
326	1298	2671
327	1299	2662
328	1300	2653
329	1305	2651
330	1307	2642
331	1308	2633
332	1311	2627
333	1313	2619
334	1315	2610
335	1316	2601
336	1318	2593
337	1319	2584
338	1321	2576
339	1322	2567
340	1324	2559
341	1325	2551
342	1327	2542
343	1329	2534
344	1330	2525
345	1331	2517
346	1333	2510
347	1335	2501
348	1336	2493
349	1338	2484
350	1339	2476
351	1340	2468
352	1344	2464
353	1346	2456
354	1368	2485
355	1369	2478
356	1371	2469
357	1372	2461
358	1374	2453
359	1375	2445
360	1392	2465
361	1394	2457
362	1395	2448
363	1396	2440
364	1398	2432
365	1399	2424
366	1401	2417
367	1408	2418
368	1412	2415
369	1413	2407
370	1414	2398
371	1416	2390
372	1429	2402
373	1431	2395
374	1432	2388
375	1434	2380
376	1445	2388
377	1446	2381
378	1452	2380
379	1454	2372
380	1455	2365
381	1458	2359
382	1466	2362
383	1467	2354
384	1469	2346
385	1470	2339
386	1472	2332
387	1473	2324
388	1485	2332
389	1487	2326
390	1489	2319
391	1496	2321
392	1498	2314
393	1499	2306
394	1501	2299
395	1509	2302
396	1510	2294
397	1512	2287
398	1514	2280
399	1532	2298
400	1535	2293
401	1536	2285
402	1538	2278
403	1539	2271
404	1541	2264
405	1542	2256
406	1544	2250
407	1545	2242
408	1557	2250
409	1558	2242
410	1560	2235
411	1561	2228
412	1562	2221
413	1564	2214
414	1565	2207
415	1567	2200
416	1569	2193
417	1570	2186
418	1572	2179
419	1573	2172
420	1575	2166
421	1576	2158
422	1577	2151
423	1578	2144
424	1580	2138
425	1592	2145
426	1595	2141
427	1599	2137
428	1601	2131
429	1602	2124
430	1604	2118
431	1606	2111
432	1607	2105
433	1609	2098
434	1610	2091
435	1612	2085
436	1643	2117
437	1644	2110
438	1662	2124
439	1663	2117
440	1666	2112
441	1680	2121
442	1682	2115
443	1688	2113
444	1689	2106
445	1691	2100
446	1692	2094
447	1693	2087
448	1695	2080
449	1699	2077
450	1701	2071
451	1702	2064
452	1704	2057
453	1706	2051
454	1707	2045
455	1709	2039
456	1715	2038
457	1717	2032
458	1719	2026
459	1720	2020
460	1722	2013
461	1723	2007
462	1725	2001
463	1731	2000
464	1732	1993
465	1734	1987
466	1735	1980
467	1749	1989
468	1751	1982
469	1757	1982
470	1760	1977
471	1762	1971
472	1763	1965
473	1765	1958
474	1766	1952
475	1767	1946
476	1772	1943
477	1773	1936
478	1775	1930
479	1777	1926
480	1779	1919
481	1780	1913
482	1782	1908
483	1784	1902
484	1788	1898
485	1789	1892
486	1791	1886
487	1792	1880
488	1794	1874
489	1810	1884
490	1811	1877
491	1821	1880
492	1822	1874
493	1826	1870
494	1827	1864
495	1828	1858
496	1830	1852
497	1831	1846
498	1833	1840
499	1834	1834
500	1851	1844
501	1853	1838
502	1854	1832
503	1856	1826
504	1857	1820
505	1858	1814
506	1860	1809
507	1861	1803
508	1890	1823
509	1892	1817
510	1893	1811
511	1894	1806
512	1896	1800
513	1897	1794
514	1899	1788
515	1900	1782
516	1902	1777
517	1904	1772
518	1905	1766
519	1907	1760
520	1908	1755
521	1910	1749
522	1911	1743
523	1913	1738
524	1914	1732
525	1916	1726
526	1917	1721
527	1919	1715
528	1922	1711
529	1923	1705
530	1925	1700
531	1926	1694
532	1928	1689
533	1929	1683
534	1931	1678
535	1932	1673
536	1934	1667
537	1935	1662
538	1937	1657
539	1944	1656
540	1946	1651
541	1948	1646
542	1951	1642
543	1952	1636
544	1954	1631
545	1956	1626
546	1974	1635
547	1985	1637
548	1986	1632
549	1988	1626
550	1989	1621
551	1991	1616
552	1992	1610
553	1994	1605
554	1995	1600
555	1997	1594
556	2004	1594
557	2006	1589
558	2031	1602
559	2033	1597
560	2034	1591
561	2035	1586
562	2046	1588
563	2048	1583
564	2049	1577
565	2051	1572
566	2065	1577
567	2067	1572
568	2068	1567
569	2072	1563
570	2074	1558
571	2075	1552
572	2082	1551
573	2083	1546
574	2091	1546
575	2093	1540
576	2095	1535
577	2098	1532
578	2099	1526
579	2113	1530
580	2116	1526
581	2120	1522
582	2121	1517
583	2123	1512
584	2124	1507
585	2126	1502
586	2127	1496
587	2128	1491
588	2130	1486
589	2131	1481
590	2132	1476
591	2134	1470
592	2135	1465
593	2139	1462
594	2142	1458
595	2144	1453
596	2145	1448
597	2147	1443
598	2148	1438
599	2154	1436
600	2155	1431
601	2157	1426
602	2158	1421
603	2160	1416
604	2162	1411
605	2163	1406
606	2165	1402
607	2167	1397
608	2168	1392
609	2171	1388
610	2173	1383
611	2175	1379
612	2176	1374
613	2184	1373
614	2185	1368
615	2187	1363
616	2194	1362
617	2195	1357
618	2197	1352
619	2198	1347
620	2200	1342
621	2201	1338
622	2203	1333
623	2223	1339
624	2226	1335
625	2227	1330
626	2233	1328
627	2234	1323
628	2236	1318
629	2237	1314
630	2238	1309
631	2244	1306
632	2264	1312
633	2266	1308
634	2268	1303
635	2270	1299
636	2271	1294
637	2272	1289
638	2274	1284
639	2275	1280
640	2292	1283
641	2294	1279
642	2295	1274
643	2296	1269
644	2298	1265
645	2299	1260
646	2301	1255
